Boyut düşürme yöntemlerinden PCA (Temel Bileşen Analizi) hangi tür öğrenme kategorisine girer?,Denetimsiz (Unsupervised) Öğrenme.
Mevcut özelliklerden bir alt küme seçerek orijinal değişkenlerin korunduğu işleme ne denir?,Özellik Seçme (Feature Selection).
Özelliklerin dönüştürülerek yeni yapay bileşenlerin üretildiği işleme ne ad verilir?,Boyut Düşürme (Dimensionality Reduction).
PCA'da verinin merkezlenmesi için hangi işlem yapılır?,$\tilde{X} = X - \mu$ (Her özellikten sütun ortalamasının çıkarılması).
PCA algoritmasında özdeğerlerin ($\lambda_i$) büyüklüğü neyi temsil eder?,İlgili bileşenin taşıdığı varyans miktarını.
Açıklanan Varyans Oranı (EVR) formülü nedir?,$EVR(k) = \frac{\sum_{i=1}^k \lambda_i}{\sum_{i=1}^d \lambda_i}$
PCA'da en uygun bileşen sayısını ($k$) belirlemek için kullanılan görsel grafiğe ne ad verilir?,Scree Plot (Yamaç Grafiği).
PCA'da her bir ana bileşenin (PC) bir sonrakine göre geometrik konumu nedir?,Birbirlerine diktirler (Ortogonal).
Veriyi 2D veya 3D'de görselleştirmek için t-SNE'nin kullandığı temel benzerlik ölçütü nedir?,Koşullu olasılıklar tabanlı benzerlik (t-dağılımı).
UMAP algoritmasının t-SNE'ye göre en büyük pratik avantajı nedir?,Daha hızlı çalışması ve yeni veri noktalarının projeksiyonuna izin vermesi.
Doğrusal Diskriminant Analizi'nin (LDA) temel amacı nedir?,Sınıflar arası ayrımı (separability) maksimize etmek.
LDA'da üretilebilecek maksimum bileşen sayısı ne ile sınırlıdır?,Sınıf sayısı eksi bir ($K-1$).
Otoenkodörlerde (Autoencoders) verinin en düşük boyutlu temsilinin bulunduğu katmana ne denir?,Bottleneck (Darboğaz).
Kümeleme Analizi (Clustering) hangi tür öğrenme yöntemidir?,Gözetimsiz (Unsupervised) Öğrenme.
K-Ortalamalar (K-Means) algoritmasının optimizasyon hedefi nedir?,Küme içi varyasyonu (Inertia) minimize etmek.
Kümeleme sonuçlarını ağaç benzeri bir yapıda gösteren diyagrama ne ad verilir?,Dendrogram.
DBSCAN algoritması geleneksel merkez tabanlı algoritmalardan hangi özelliği ile ayrılır?,Yoğunluk farklarına dayanarak karmaşık şekilli kümeleri bulabilmesi.
Hiyerarşik kümelemede 'Single Linkage' (Tekil Bağlantı) mesafeyi nasıl tanımlar?,İki küme arasındaki en yakın eleman çiftleri arasındaki mesafe.
İki nokta arasındaki en kısa doğrusal mesafeyi ölçen metriğe ne denir?,Öklid (Euclidean) Mesafesi.
Manhattan mesafesi nasıl hesaplanır?,Koordinat eksenleri boyunca mutlak farkların toplamı ile.
Sınıflandırma probleminde modelin çıktı olarak ürettiği olasılığı 0 veya 1'e dönüştüren fonksiyona ne denir?,Sigmoid Fonksiyonu: $\sigma(z) = \frac{1}{1 + e^{-z}}$.
Lojistik regresyonda katsayıların aşırı büyümesini engellemek için kullanılan L2 düzenlileştirmesinin diğer adı nedir?,Ridge Düzenlileştirme.
Destek Vektör Makineleri'nde (SVM) 'Margin' neyi ifade eder?,Karar hiperdüzlemi ile en yakın veri noktaları arasındaki mesafe.
SVM'de veriyi doğrusal olmayan bir üst uzaya taşıyarak ayrıştırmayı sağlayan yönteme ne denir?,Kernel Trick (Çekirdek Yöntemi).
Karar ağaçlarında dallanma kriteri olarak kullanılan saflık ölçüsü nedir?,Gini Safsızlığı veya Entropi.
Rastgele Orman (Random Forest) algoritmasının temel çalışma prensibi nedir?,Birden fazla karar ağacını bootstrap örnekleme ve rastgele özellik seçimiyle birleştirmek.
KNN algoritmasında 'K' değerinin çok küçük seçilmesi hangi soruna yol açar?,Aşırı öğrenme (Overfitting/Yüksek Varyans).
Naive Bayes algoritmasının 'naive' (saf) olarak adlandırılmasının sebebi nedir?,Özelliklerin sınıfa bağlı olarak birbirinden bağımsız olduğunu varsayması.
Sınıflandırma performansını ölçen Karmaşıklık Matrisi'nde (Confusion Matrix) FN neyi temsil eder?,Yanlış Negatif (Gerçekte pozitif olanın negatif tahmin edilmesi).
Bias (Önyargı) ve Varyans arasındaki ödünleşim (trade-off) neyi ifade eder?,Model karmaşıklığı arttıkça biasın azalması ancak varyansın artması durumunu.
Yapay sinir ağlarında tek bir nöronun matematiksel denklemi nedir?,$a = \phi(\sum w_j x_j + b)$
Sinir ağlarında negatif değerleri sıfıra eşitleyen en yaygın aktivasyon fonksiyonu hangisidir?,"ReLU ($g(z) = \max(0, z)$)."
Doğrusal regresyon veya lojistik regresyonun çözemediği klasik mantıksal problem hangisidir?,XOR Paradoksu.
Sinir ağlarında katmanlar boyunca verinin işlenerek tahmin üretilmesi sürecine ne ad verilir?,İleri Besleme (Forward Propagation).
Ağırlıkların hata payına göre güncellenmesini sağlayan matematiksel kural nedir?,Zincir Kuralı (Chain Rule) tabanlı Geri Yayılım.
Gradyan İnişi (Gradient Descent) algoritmasında öğrenme hızı ($\alpha$) neyi belirler?,Parametre güncellemeleri sırasında atılan adımların büyüklüğünü.
Regresyon modellerinde 'Artık Değer' (Residual) nedir?,Gerçek değer ile tahmin edilen değer arasındaki fark ($y_i - \hat{y}_i$).
Ortalama Mutlak Hata (MAE) metriğinin en güçlü yönü nedir?,Aykırı değerlere (outliers) karşı dirençli olması.
Ortalama Kare Hata (MSE) metriğinin MAE'den temel farkı nedir?,Hataların karesini aldığı için büyük hataları daha sert cezalandırması.
RMSE metriği MSE'ye göre neden daha yorumlanabilirdir?,Karekök işlemi sayesinde hata birimini orijinal verinin birimine döndürdüğü için.
MAPE metriği hangi durumlarda hatalı veya tanımsız sonuçlar üretir?,Gerçek değerler sıfır veya sıfıra çok yakın olduğunda.
$R^2$ (R-Kare) skoru neyi ölçer?,"Bağımsız değişkenlerin, bağımlı değişkendeki varyansın ne kadarını açıkladığını."
Düzeltilmiş R-Kare (Adjusted $R^2$) neden standart $R^2$'den daha güvenilirdir?,Modele eklenen alakasız değişkenler için penalizasyon uygulayarak 'yalancı başarıyı' engellediği için.
Boyutların Laneti (Curse of Dimensionality) nedeniyle yüksek boyutlarda veri noktaları arasındaki mesafe nasıl değişir?,Tüm noktalar birbirine neredeyse eşit uzaklıkta görünür ve 'yakınlık' kavramı anlamını yitirir.
KD-Ağaçları hangi boyut aralığında verimli arama yapabilmektedir?,Genellikle 2 ile 8 boyut arasında.
Boyut düşürmede 'Kernel PCA' hangi tür veriler için uygundur?,"Doğrusal olarak ayrılamayan, karmaşık yapılara sahip veriler için."
Çok sınıflı sınıflandırma problemlerinde kullanılan hata fonksiyonu hangisidir?,Çapraz Entropi (Cross-Entropy Loss).
Sinir ağlarında 'Dropout' tekniği neden kullanılır?,Nöronları rastgele kapatarak aşırı öğrenmeyi (overfitting) engellemek için.
Batch Normalization'ın temel amacı nedir?,Eğitimi hızlandırmak ve gradyan sorunlarını azaltmak için girdi değerlerini normalize etmek.
Evrensel Yaklaşım Teoremi (Universal Approximation Theorem) neyi savunur?,Yeterli genişlikteki tek bir gizli katmana sahip sinir ağının her türlü sürekli fonksiyonu temsil edebileceğini.