"Yeni ve özgün içerik (metin, görsel, ses, kod) üretebilen algoritmalara ne ad verilir?",Üretken Yapay Zeka (ÜYZ).
Geleneksel bilgisayar uygulamaları ile Üretken Yapay Zeka arasındaki temel fark nedir?,"Geleneksel uygulamalar açık talimatlar (programlama) gerektirirken, ÜYZ makine öğrenmesine ve veri modellerini tanımaya dayanır."
MIT tarafından 1960'larda geliştirilen ilk chatbot örneği hangisidir?,ELIZA.
Ian Goodfellow tarafından 2014 yılında tanıtılan ve iki sinir ağının birbiriyle yarıştığı mimari hangisidir?,GAN (Generative Adversarial Networks - Üretken Çekişmeli Ağlar).
2017 yılında Google Research tarafından tanıtılan ve modern dil modellerinin temelini oluşturan mimari hangisidir?,Transformer (Dönüştürücü) mimarisi.
Üretken yapay zeka modellerinin eğitilmesi ve çalıştırılması için gereken devasa hesaplamaları yöneten donanım birimleri nelerdir?,Grafik İşlem Birimleri (GPU'lar) ve Tensor İşlem Birimleri (TPU'lar).
GAN mimarisinde gerçekçi içerik üretmek için birbiriyle rekabet eden iki ağın isimleri nelerdir?,Üreteç (Generator) ve Ayırt Edici (Discriminator).
Rastgele gürültü ile başlayıp bunu yavaş yavaş net bir görsele dönüştüren modelleme yöntemi hangisidir?,Difüzyon (Diffusion) Modelleri.
"Büyük Dil Modelleri (LLM), bir metin dizisinde çıktı üretirken temelde hangi işlemi yapar?",Dizideki bir sonraki kelimeyi (token) tahmin eder.
Dönüştürücü (Transformer) mimarisinde kelimeler veya pikseller arasındaki bağlamsal ilişkileri öğrenmeyi sağlayan mekanizma nedir?,Dikkat (Attention) mekanizması.
Transformer modellerinde her token için oluşturulan üç ana vektör bileşeni hangileridir?,"Sorgu ($Q$ - Query), Anahtar ($K$ - Key) ve Değer ($V$ - Value)."
Bir öğenin diğer tüm öğelerle olan bağlam ilişkilerini aynı anda değerlendiren mekanizmaya ne ad verilir?,Öz-dikkat (Self-attention).
"ÜYZ modellerinin tarihsel olaylar veya istatistikler hakkında gerçek olmayan, yanlış veri üretmesi durumuna ne ad verilir?",Dijital Halüsinasyon (Hallucination).
"Eğitim verilerindeki cinsiyet, etnik köken veya ideolojik önyargıların çıktıya yansıması durumuna ne ad verilir?",Taraflılık (Bias).
Akademik araştırmalarda ÜYZ kullanımıyla ilgili temel etik ilke nedir?,ÜYZ bir asistandır; nihai kararlar ve sorumluluk her zaman araştırmacıya aittir.
Etik ihlal durumunda 'Hata ÜYZ kaynaklıydı' savunmasının kabul edilmemesinin sebebi nedir?,Araştırmacının çalışmanın her aşamasından şahsen sorumlu olması.
"ÜYZ kullanımının hangi bölümde, hangi amaçla ve hangi araçla (sürüm bilgisiyle) yapıldığının beyan edilmesi hangi etik sütuna girer?",Şeffaflık (Transparency).
Araştırmacının entelektüel katkısının ÜYZ tarafından ikame edilmesi riskine ne ad verilir?,Özgünlük Erozyonu.
ÜYZ sistemlerinin ürettiği referansların hatalı olma riskine karşı önerilen zorunlu eylem nedir?,Güven ama Doğrula (Trust but Verify).
ÜYZ tarafından üretilen referansların yaklaşık yüzde kaçının hatalı olabileceği belirtilmektedir?,$\%30$.
"Hassas verilerin (sağlık, genetik vb.) halka açık ÜYZ modellerine yüklenmeden önce yapılması gereken işlem nedir?",Anonimleştirme.
"OpenAI tarafından geliştirilen, metin komutlarından fotogerçekçi ve soyut görseller oluşturan öncü model hangisidir?",DALL-E 2.
"Sanatsal ve sinematik estetiğiyle bilinen, topluluk odaklı görsel üretim platformu hangisidir?",Midjourney.
Açık kaynak kodu ile teknik esneklik sağlayan ve yerel cihazlarda çalışabilen görsel ÜYZ aracı hangisidir?,Stable Diffusion.
Adobe'nin profesyonel tasarımcılar için geliştirdiği telif hakkı riski taşımayan içerik sunan yapay zeka aracı hangisidir?,Adobe Firefly.
"Gemini platformunda, tekrarlayan istemler yerine özelleştirilmiş ve tekrar kullanılabilir zeka modülleri kurmaya ne ad verilir?",Gem inşa etmek.
Bir Gem mimarisini oluşturan 4 temel yapı taşı (kolon) nelerdir?,"Karakter, Görev, Bağlam ve Biçim."
Gem mimarisinde 'Karakter' bileşeni neyi ifade eder?,Gem'in hangi rolü (persona) oynayacağı ve nasıl bir ses tonuna sahip olacağı.
"Gem mimarisinde istenen çıktının yapısını (madde işaretleri, tablolar vb.) belirleyen bileşen hangisidir?",Biçim (Format).
Bir Gem'in mükemmel komutlara sahip olması için kendi talimatlarını Gemini'ye yazdırarak optimize edilmesine ne ad verilir?,Talimat Döngüsü (Instruction Loop).
Üretken yapay zeka modellerine bir 'Rol' veya 'Persona' atamanın temel faydası nedir?,Modelin ilgili uzmanlık terminolojisini aktive etmesini sağlar ve halüsinasyon oranını düşürür.
Modelin mantık yürütmesini ve karmaşık problemleri çözmesini sağlamak için kullanılan 'Adım adım düşün' komutu hangi tekniğe girer?,Chain of Thought (CoT - Düşünce Zinciri).
Modelin bir görevi hiçbir örnek görmeden yapmasına ne ad verilir?,Zero-shot Prompting.
Modelin belirli bir formatı veya tonu taklit etmesi için istem içinde birkaç örnek verilmesine ne ad verilir?,Few-shot Prompting.
ÜYZ modellerinin eğitim sürecinde verilerin temizlenmesinden sonra yapılan büyük ölçekli ilk aşama hangisidir?,Ön eğitim (Pre-training).
Önceden eğitilmiş bir modelin belirli bir görev veya alan için daha spesifik hale getirilmesi sürecine ne ad verilir?,İnce ayar (Fine-tuning).
Veriyi basit bir temsile sıkıştırıp ardından orijinalin özünü yakalayan varyasyonlar üretmek için kullanılan mimari hangisidir?,VAE (Variational Autoencoders - Değişken Otomatik Kodlayıcılar).
Transformer modellerinde Query ($Q$) ve Key ($K$) arasındaki benzerlik skorlarını normalize etmek için kullanılan matematiksel fonksiyon nedir?,Softmax.
Araştırmalarda ÜYZ kullanımının 'Pilot-Otopilot' benzetmesindeki yeri nedir?,"ÜYZ yardımcı pilottur, ancak kaptan (sorumlu) her zaman araştırmacıdır."
Görsel yapay zeka araçları seçiminde göz önünde bulundurulması gereken üç temel kriter nedir?,"Çıktı kalitesi/stil, maliyet/hız ve telif hakları/güvenlik."
"Gem'lerin genel bilgilerin ötesinde, kullanıcıya özel belgelerle çalışmasını sağlayan özelliğe ne ad verilir?",Dış Hafıza Ekleme (Harici Bağlam Havuzu).
"Metodoloji bölümüne ÜYZ Kullanım Beyanı eklenmesi, Sorumlu Kullanım Kontrol Listesi'nde hangi başlık altındadır?",Şeffaflık.
İş geliştirme uzmanı gibi davranarak B2B müşteriye e-posta yazma isteminde '3 paragraf olması' hangi Gem kolonuna örnektir?,Biçim (Biçim).
ÜYZ'nin beslendiği veri setlerinin ve alıntı yapılan yazarların haklarının gözetilmesi hangi etik ilke kapsamındadır?,Adalet ve Saygı (Emeğe Saygı).
Self-attention mekanizmasının geleneksel RNN modellerine göre hız avantajı sağlamasının sebebi nedir?,Paralel hesaplamaya uygun olması.
Difüzyon modellerinin Adobe ekosistemindeki temel örneği hangisidir?,Firefly.
Metin verilerindeki gizli desenleri (patterns) tanıyarak sonuç çıkarma sürecine ne denir?,Makine Öğrenmesi (Machine Learning).
"Prompt yazmanın 'geçici', Gem inşa etmenin ise 'kalıcı' olmasının temel sebebi nedir?","Gem'lerin kuralları, tonu ve kısıtlamaları her sohbette baştan anlatmaya gerek kalmadan hafızasında tutması."
2025 yılı için öngörülen küresel Üretken AI pazar büyüklüğü kaç milyar dolardır?,$59$ Milyar USD.
ÜYZ sistemlerinin eğitiminde kullanılan verilerin profesyonel kullanım için nasıl olması istenir?,Lisanslı ve kullanım hakkı alınmış.